error_class,line_count,ground_truth,prediction,substitutions,deleted,inserted,error_positions,confidence,image_path
missing_chars,2,54T15417,54T1517,,4,,5,0.9660,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/10xemay112_jpg.rf.6240b354b5a3ddea601dfcbc5dde6dac.jpg
mixed,2,59Y173221,59L73281,1>L 2>8,Y,,2 3 7,0.9395,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/10xemay1270_jpg.rf.4c36473cfd20340ef19552575bd1c46a.jpg
substitution,2,51Z74533,51T74533,Z>T,,,2,0.9932,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/10xemay1586_jpg.rf.32c2dc3c9f0ae69bb0365dac3e824737.jpg
mixed,2,55F114927,85F11492765R1,5>8,,65R1,0,0.8440,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/10xemay2052_jpg.rf.f1c4c0db8ad753e055795ecce5679947.jpg
mixed,2,59T159973,C0T59973,5>C 9>0,1,,0 1 3,0.8536,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/10xemay2215_jpg.rf.79ea46422270a9632db3313acf9d9d68.jpg
mixed,2,54K48147,81A73474,4>8 K>1 4>A 8>7 1>3,5,4,0 1 2 3 4 5,0.8527,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/10xemay2271_jpg.rf.9c4e914958e8ef4ea0c094bc56766dda.jpg
missing_chars,2,78N25203,5203,,78N2,,0 1 2 3,0.8107,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/10xemay799_jpg.rf.f9a4e651f104a5ffe28d32163abd18cb.jpg
missing_chars,2,71B197914,97914,,71B1,,0 1 2 3,0.9704,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/11xemay1003_jpg.rf.6c69c8ba4ff71d91c4782d5cdb3818ad.jpg
substitution,2,60B801015,60B801075,1>7,,,7,0.9937,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/11xemay137_jpg.rf.59c2f0ec930d0d54278b54e25b8bc0e8.jpg
mixed,2,59H167791,H1G7791,6>G,59,,0 1 4,0.9854,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/11xemay679_jpg.rf.0b48382bd4fd97b294352383afb2edef.jpg
